127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000716
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000359
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000614
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002324
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001613
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002881
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000639
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001116
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000450
127.0.0.1, 2013-06-26 17:39:10, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000324
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/default/index, HTTP/1.1, 200, 0.084750
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001026
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.002413
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001158
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.002254
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000967
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.002642
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000825
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001054
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002647
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000534
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001508
127.0.0.1, 2013-06-26 17:42:51, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000328
127.0.0.1, 2013-06-26 17:42:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000209
127.0.0.1, 2013-06-26 17:42:55, POST, /admin/default/index, HTTP/1.1, 303, 0.048726
127.0.0.1, 2013-06-26 17:42:55, GET, /admin/default/site, HTTP/1.1, 200, 0.033239
127.0.0.1, 2013-06-26 17:42:55, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.000666
127.0.0.1, 2013-06-26 17:42:55, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.000439
127.0.0.1, 2013-06-26 17:42:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000210
127.0.0.1, 2013-06-26 17:42:56, POST, /admin/default/check_version, HTTP/1.1, 200, 0.865681
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/default/index, HTTP/1.1, 200, 0.069784
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/js/calendar.js, HTTP/1.1, 200, 0.000258
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001801
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/js/jquery.js, HTTP/1.1, 200, 0.000521
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/css/calendar.css, HTTP/1.1, 200, 0.002089
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/js/web2py.js, HTTP/1.1, 200, 0.001386
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002539
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/css/web2py.css, HTTP/1.1, 200, 0.005554
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001120
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001801
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003898
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001832
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/js/share.js, HTTP/1.1, 200, 0.001340
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/images/twitter.png, HTTP/1.1, 200, 0.001061
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/images/gplus-32.png, HTTP/1.1, 200, 0.000677
127.0.0.1, 2013-06-26 17:42:57, GET, /baystreet/static/images/facebook.png, HTTP/1.1, 200, 0.000590
127.0.0.1, 2013-06-26 17:42:58, GET, /baystreet/static/images/favicon.ico, HTTP/1.1, 200, 0.000323
127.0.0.1, 2013-06-26 17:44:09, GET, /baystreet/default/schedule, HTTP/1.1, 200, 0.034879
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/default/schedule, HTTP/1.1, 200, 0.034977
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/js/web2py.js, HTTP/1.1, 304, 0.000248
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/css/web2py.css, HTTP/1.1, 304, 0.001068
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/css/calendar.css, HTTP/1.1, 304, 0.000264
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/js/jquery.js, HTTP/1.1, 304, 0.001106
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.003146
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/js/calendar.js, HTTP/1.1, 304, 0.001977
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000229
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000240
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000277
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000231
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001682
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/js/share.js, HTTP/1.1, 304, 0.002600
127.0.0.1, 2013-06-26 17:49:18, GET, /baystreet/static/images/gplus-32.png, HTTP/1.1, 304, 0.000284
